Country,City,Cuisines,Average Cost for two,Currency,Aggregate rating,Restaurant ID,Restaurant Name,Country Code,Address,Locality,Locality Verbose,Longitude,Latitude,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text,Votes
United States,Albany,"BBQ, Burger, Seafood",25,Dollar($),3.3,17284404,Austin's BBQ and Oyster Bar,216,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,No,No,No,No,2,Orange,Average,35
United States,Albany,"American, BBQ",10,Dollar($),3.3,17284203,BJ's Country Buffet,216,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,No,No,No,No,1,Orange,Average,25
United States,Albany,Mexican,0,Dollar($),3.4,17284302,El Vaquero Mexican Restaurant,216,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,No,No,No,No,1,Orange,Average,45
United States,Albany,"Coffee and Tea, Sandwich",10,Dollar($),3.4,17284397,Elements Coffee Co - Northwest,216,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,No,No,No,No,1,Orange,Average,26
United States,Albany,Fast Food,10,Dollar($),3.5,17284094,Chick-fil-A,216,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2193,31.616,No,No,No,No,1,Yellow,Good,67
United States,Albany,"Asian, Chinese, Vegetarian",10,Dollar($),3.9,17284409,Guang Zhou Chinese Restaurant,216,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2091458,31.6155186,No,No,No,No,1,Yellow,Good,141
United States,Albany,"Pizza, Bar Food, Sandwich",25,Dollar($),3.7,17284139,Harvest Moon,216,"2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany",-84.205718,31.604905,No,No,No,No,2,Yellow,Good,147
United States,Albany,"Steak, Tapas, Bar Food",70,Dollar($),3.5,17284403,Henry Campbell's Steakhouse,216,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.223278,31.612121,No,No,No,No,4,Yellow,Good,51
United States,Albany,"Chinese, Seafood, Vegetarian",25,Dollar($),3.6,17284145,Hong Kong Cafe,216,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2191,31.6156,No,No,No,No,2,Yellow,Good,88
United States,Albany,Chinese,10,Dollar($),3.8,17284150,House of China Restaurant II,216,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",-84.212,31.6104,No,No,No,No,1,Yellow,Good,153
United States,Albany,"American, Burger, Sandwich",25,Dollar($),3.5,17284175,Locos Grill & Pub,216,"547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2228,31.6077,No,No,No,No,2,Yellow,Good,57
United States,Albany,"American, Steak",25,Dollar($),3.5,17284179,Longhorn Steakhouse,216,"2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2229,31.6185,No,No,No,No,2,Yellow,Good,58
United States,Albany,"Japanese, Steak, Sushi",40,Dollar($),3.6,17284197,Mikata Japanese Steakhouse,216,"2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2164,31.6137,No,No,No,No,3,Yellow,Good,115
